Country (or dependent territory),2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Pakistan,"750,427","790,453","838,910","878,003","919,395","966,888","1,010,730","1,058,469","1,148,716","1,204,439"
Palau,205,217,226,226,240,265,272,267,277,285
Panama,"57,224","65,013","72,999","82,722","92,583","104,139","116,438","129,592","137,446","144,340"
Papua New Guinea,"19,329","19,946","21,264","22,453","25,938","27,900","29,712","31,313","31,941","33,932"
Paraguay,"62,505","66,530","64,335","72,020","75,594","76,830","81,617","86,460","91,275","92,434"
Peru,"281,171","305,122","318,400","338,735","349,962","357,122","378,815","402,126","427,666","444,587"
Philippines,"528,816","560,551","612,131","654,004","699,662","733,864","798,601","854,095","929,064","1,002,458"
Poland,"804,455","862,452","897,878","925,133","962,318","1,019,170","1,069,351","1,141,271","1,236,820","1,313,543"
Portugal,"281,686","282,621","277,992","292,135","298,952","307,312","326,331","340,796","358,536","374,334"
Puerto Rico,"115,119","117,073","118,421","119,192","119,065","118,146","117,009","114,270","111,787","115,572"
Qatar,"249,752","283,716","311,041","322,985","317,406","238,529","220,585","249,963","258,847","265,003"
Romania,"355,132","378,832","397,335","393,223","410,764","428,618","470,932","530,795","575,689","607,907"
Russia,"3,074,282","3,259,319","3,480,299","3,741,783","3,763,535","3,526,236","3,538,582","3,818,781","4,015,883","4,173,048"
Rwanda,"13,558","14,939","15,713","16,696","18,928","20,526","21,976","23,665","26,274","29,245"
Samoa,882,935,917,933,956,"1,002","1,092","1,127","1,146","1,217"
San Marino,"1,965","1,834","1,748","1,740","1,825","1,850","1,925","1,982","2,058","2,135"
São Tomé and Príncipe,520,541,509,566,632,630,669,702,749,777
Saudi Arabia,"1,411,944","1,599,505","1,685,823","1,696,399","1,746,222","1,577,685","1,523,869","1,625,946","1,716,402","1,764,371"
Senegal,"33,642","34,794","36,714","37,797","40,124","43,318","46,119","49,402","53,672","57,090"
Serbia,"95,492","99,446","100,311","104,804","104,531","105,951","111,920","116,697","124,736","132,324"
Seychelles,"1,698","1,832","1,904","2,012","2,255","2,338","2,673","2,869","3,080","3,304"
Sierra Leone,"7,278","7,897","9,434","11,988","12,544","11,469","12,300","12,234","12,948","13,857"
